centered-Reason replay over 208 v4 duels (k=3, LME-mean centering; delta=0.002)

challenge   challenger               old margin   old z  W  cen margin   cen z  W chall cenR  king cenR
chal-01040  afgod1079                  -0.00024   -0.42  .    -0.00026   -0.57  .    0.00971    0.00996
chal-01041  tammyfritz                 -0.00026   -0.47  .     0.00000    0.02  .    0.00998    0.00998
chal-01042  0pentensor                 -0.00133   -2.29  .    -0.00034   -1.15  .    0.00922    0.00959
chal-01043  rlchampion                  0.00006    0.08  .     0.00033    0.79  .    0.00914    0.00884
chal-01044  completeyourprofile321      0.00083    1.27  .     0.00012    0.33  .    0.00891    0.00881
chal-01045  darius3th                   0.00060    0.94  .    -0.00067   -1.62  .    0.01007    0.01073
chal-01046  completeyourprofile321      0.00007    0.14  .     0.00007    0.17  .    0.00983    0.00977
chal-01047  iionai                     -0.00068   -1.39  .    -0.00050   -2.06  .    0.00831    0.00881
chal-01048  0xgevdhc                   -0.00082   -1.41  .    -0.00030   -1.05  .    0.00904    0.00936
chal-01049  ammazon                    -0.00076   -1.37  .    -0.00050   -1.64  .    0.00995    0.01042
chal-01050  tammyfritz                 -0.00050   -0.84  .    -0.00029   -0.91  .    0.00903    0.00931
chal-01051  Tok331102                   0.00071    1.43  .     0.00029    1.02  .    0.00975    0.00946
chal-01052  realmadrid9999              0.00012    0.20  .    -0.00030   -0.97  .    0.00941    0.00969
chal-01053  Shatoria                    0.00086    1.18  .    -0.00017   -0.43  .    0.00989    0.01005
chal-01054  Tok331102                  -0.00031   -0.48  .     0.00011    0.26  .    0.00993    0.00981
chal-01055  michael-chan-000            0.00078    1.37  .     0.00026    0.72  .    0.00973    0.00949
chal-01056  Sansaliu                    0.00070    0.89  .    -0.00016   -0.49  .    0.00924    0.00940
chal-01057  leary-criste               -0.00006   -0.11  .     0.00075    2.42  .    0.00944    0.00868
chal-01058  leary-criste               -0.00049   -0.71  .     0.00012    0.34  .    0.00991    0.00978
chal-01059  leary-criste                0.00017    0.23  .    -0.00009   -0.23  .    0.00893    0.00901
chal-01060  leary-criste                0.00115    1.83  .    -0.00020   -0.53  .    0.01081    0.01103
chal-01061  leary-criste                0.00119    2.53  .     0.00107    3.50  .    0.01020    0.00913
chal-01062  leary-criste               -0.00055   -0.88  .     0.00024    0.72  .    0.01043    0.01018
chal-01063  unconstai                   0.00022    0.40  .    -0.00033   -0.97  .    0.00794    0.00829
chal-01064  afgod1079                  -0.00034   -0.58  .    -0.00050   -1.76  .    0.00836    0.00887
chal-01065  ttttxxxxsada                0.00062    1.12  .    -0.00010   -0.43  .    0.00935    0.00944
chal-01066  truelove-yes                0.00019    0.37  .     0.00028    1.20  .    0.00900    0.00871
chal-01067  ttttxxxxsada               -0.00024   -0.50  .     0.00005    0.24  .    0.00942    0.00935
chal-01068  williamjamesbias            0.00007    0.13  .    -0.00038   -1.62  .    0.00959    0.00996
chal-01069  ttttxxxxsada               -0.00016   -0.29  .    -0.00001   -0.06  .    0.01004    0.01004
chal-01070  dora7                       0.00011    0.26  .    -0.00022   -0.82  .    0.00943    0.00967
chal-01071  m3s2er                      0.00014    0.22  .     0.00086    2.80  .    0.00957    0.00873
chal-01072  magicworld7                 0.00112    2.00  .     0.00001    0.03  .    0.01046    0.01050
chal-01073  tojointhecommunity          0.00072    1.26  .     0.00024    0.84  .    0.01022    0.00999
chal-01074  active-king                -0.03504  -15.62  .     0.00468    4.88  Y    0.01344    0.00993
chal-01075  williamjamesbias           -0.03592  -14.36  .     0.00435    4.58  Y    0.01316    0.01006
chal-01079  realmadrid9999              0.00103    1.81  .     0.00050    1.63  .    0.00992    0.00942
chal-01080  realmadrid9999              0.00044    0.93  .     0.00064    2.19  .    0.01045    0.00981
chal-01081  nothink123                  0.00098    1.49  .     0.00049    1.62  .    0.01053    0.01002
chal-01082  bodenmaurice                0.00007    0.13  .     0.00080    2.64  .    0.01007    0.00926
chal-01084  tammyfritz                  0.00050    0.85  .     0.00023    0.75  .    0.01000    0.00979
chal-01085  tojointhecommunity          0.00044    0.81  .     0.00023    0.82  .    0.00888    0.00867
chal-01089  angryaffine                 0.00177    2.48  .    -0.00197   -4.82  .    0.00885    0.01082
chal-01090  angryaffine                 0.00117    1.66  .    -0.00054   -1.62  .    0.00832    0.00885
chal-01091  angryaffine                 0.00093    1.33  .    -0.00103   -2.86  .    0.00878    0.00980
chal-01092  angryaffine                 0.00187    2.08  .    -0.00100   -2.43  .    0.00801    0.00899
chal-01093  tojointhecommunity          0.00218    2.71  Y    -0.00105   -2.80  .    0.00831    0.00937
chal-01095  tojointhecommunity         -0.00005   -0.11  .    -0.00005   -0.21  .    0.00846    0.00851
chal-01096  everest103                  0.00023    0.58  .     0.00002    0.09  .    0.00828    0.00826
chal-01097  ringtone-ro                 0.00019    0.50  .     0.00023    1.15  .    0.00835    0.00813
chal-01098  ringtone-ro                -0.00038   -0.82  .    -0.00043   -1.60  .    0.00821    0.00864
chal-01100  TheFireThief               -0.00414   -6.16  .     0.00043    1.37  .    0.00871    0.00816
chal-01101  llorite                     0.00018    0.41  .    -0.00002   -0.11  .    0.00696    0.00698
chal-01102  thompsville                -0.00013   -0.30  .    -0.00034   -1.43  .    0.00798    0.00832
chal-01103  isomsom                     0.00028    0.47  .    -0.00055   -1.45  .    0.00744    0.00797
chal-01104  afgod1079                  -0.00247   -3.37  .     0.00378    7.82  Y    0.01226    0.00856
chal-01105  iionai                     -0.00184   -2.69  .     0.00127    3.17  .    0.00926    0.00800
chal-01107  michael-chan-000           -0.00184   -2.26  .     0.00218    4.92  Y    0.00962    0.00746
chal-01108  michael-chan-000           -0.00145   -1.99  .     0.00138    3.61  .    0.00952    0.00813
chal-01109  michael-chan-000           -0.00331   -3.83  .     0.00073    1.94  .    0.00883    0.00810
chal-01110  llorite                    -0.00314   -3.63  .     0.00128    2.91  .    0.00956    0.00823
chal-01111  thompsville                -0.00085   -1.85  .    -0.00026   -1.04  .    0.00846    0.00872
chal-01113  afgod1079                  -0.01401   -8.02  .     0.01836   15.34  Y    0.02613    0.00778
chal-01114  Bittoby1040                -0.04084   -5.51  .     0.00436    1.82  .    0.01091    0.00813
chal-01115  isomsom                    -0.00055   -1.07  .     0.00043    1.47  .    0.00790    0.00748
